photo_id,query,filename,save_path,alt_description,description,width,height,color,blur_hash,created_at,updated_at,promoted_at,user_name,user_username,user_portfolio_url,unsplash_page,download_location,image_url_regular,image_url_small,image_url_full,source,download_status,has_people,has_protective_medical_staff,confidence,tags,people_count_range,reason,model_raw_output,error
5697253,covid 19,5697253_White_chalked__COVID-19__text_on_a_blackboard_background__emphasizing_pandemic_theme..jpg,data/raw\5697253_White_chalked__COVID-19__text_on_a_blackboard_background__emphasizing_pandemic_theme..jpg,"White chalked 'COVID-19' text on a blackboard background, emphasizing pandemic theme.",,3500,2333,#090909,,,,,Anna Tarazevich,,https://www.pexels.com/@anntarazevich,https://www.pexels.com/photo/covid-19-lettering-text-on-black-background-5697253/,,https://images.pexels.com/photos/5697253/pexels-photo-5697253.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5697253/pexels-photo-5697253.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5697253/pexels-photo-5697253.jpeg,pexels,success,0.0,0.0,0.95,['covid_sign'],unknown,图片中只显示了“COVID-19”字样，没有出现任何人物或医疗人员。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""covid_sign""],
  ""reason"": ""图片中只显示了“COVID-19”字样，没有出现任何人物或医疗人员。""
}
```",
5994656,covid 19,5994656_Close-up_of_COVID-19_vaccine_vials_labeled_for_injection_on_a_blue_background..jpg,data/raw\5994656_Close-up_of_COVID-19_vaccine_vials_labeled_for_injection_on_a_blue_background..jpg,Close-up of COVID-19 vaccine vials labeled for injection on a blue background.,,3001,2001,#9FD0E2,,,,,Maksim Goncharenok,,https://www.pexels.com/@maksgelatin,https://www.pexels.com/photo/close-up-shot-of-vials-5994656/,,https://images.pexels.com/photos/5994656/pexels-photo-5994656.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5994656/pexels-photo-5994656.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5994656/pexels-photo-5994656.jpeg,pexels,success,0.0,0.0,0.95,['vaccine'],unknown,图片中没有显示人或医务人员，只有疫苗瓶。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccine""],
  ""reason"": ""图片中没有显示人或医务人员，只有疫苗瓶。""
}
```",
3936369,covid 19,3936369_Artistic_representation_of_COVID-19_using_golden_pills_on_a_black_background__symbolizing_healthcare_and_treatments..jpg,data/raw\3936369_Artistic_representation_of_COVID-19_using_golden_pills_on_a_black_background__symbolizing_healthcare_and_treatments..jpg,"Artistic representation of COVID-19 using golden pills on a black background, symbolizing healthcare and treatments.",,6016,4000,#151519,,,,,Miguel Á. Padriñán,,https://www.pexels.com/@padrinan,https://www.pexels.com/photo/pills-on-blue-background-3936369/,,https://images.pexels.com/photos/3936369/pexels-photo-3936369.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/3936369/pexels-photo-3936369.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/3936369/pexels-photo-3936369.jpeg,pexels,success,0.0,0.0,0.95,['covid_sign'],unknown,图片中的文字'COVID-19'使用咖啡豆拼成，没有显示任何人物或医疗人员。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""covid_sign""],
  ""reason"": ""图片中的文字'COVID-19'使用咖啡豆拼成，没有显示任何人物或医疗人员。""
}
```",
5857418,covid 19,5857418_Chalk_writing_of__vaccine__and__covid-19__on_a_blackboard__symbolizing_health_awareness..jpg,data/raw\5857418_Chalk_writing_of__vaccine__and__covid-19__on_a_blackboard__symbolizing_health_awareness..jpg,"Chalk writing of 'vaccine' and 'covid-19' on a blackboard, symbolizing health awareness.",,3500,2333,#0B0B0B,,,,,Anna Tarazevich,,https://www.pexels.com/@anntarazevich,https://www.pexels.com/photo/vaccine-covid-19-lettering-text-on-black-background-5857418/,,https://images.pexels.com/photos/5857418/pexels-photo-5857418.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5857418/pexels-photo-5857418.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5857418/pexels-photo-5857418.jpeg,pexels,success,0.0,0.0,0.95,"['vaccine', 'covid-19']",unknown,图片上写有疫苗和COVID-19的字样，没有显示任何人体或医务人员。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccine"", ""covid-19""],
  ""reason"": ""图片上写有疫苗和COVID-19的字样，没有显示任何人体或医务人员。""
}
```",
5878517,covid 19,5878517_A_COVID-19_vaccine_vial_sits_on_a_bright__blue_and_pink_background._Modern_and_impactful..jpg,data/raw\5878517_A_COVID-19_vaccine_vial_sits_on_a_bright__blue_and_pink_background._Modern_and_impactful..jpg,"A COVID-19 vaccine vial sits on a bright, blue and pink background. Modern and impactful.",,6036,3391,#4C86D3,,,,,Artem Podrez,,https://www.pexels.com/@artempodrez,https://www.pexels.com/photo/a-covid-19-vaccine-vial-on-blue-background-5878517/,,https://images.pexels.com/photos/5878517/pexels-photo-5878517.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5878517/pexels-photo-5878517.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5878517/pexels-photo-5878517.jpeg,pexels,success,0.0,0.0,0.95,['vaccination'],unknown,图片中只有一个疫苗瓶，没有显示任何人体或医务人员。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccination""],
  ""reason"": ""图片中只有一个疫苗瓶，没有显示任何人体或医务人员。""
}
```",
5697258,covid 19,5697258_Chalkboard_with__Coronavirus_and_Business__written_on_it__illustrating_COVID-19_impact..jpg,data/raw\5697258_Chalkboard_with__Coronavirus_and_Business__written_on_it__illustrating_COVID-19_impact..jpg,"Chalkboard with 'Coronavirus and Business' written on it, illustrating COVID-19 impact.",,3500,2333,#111112,,,,,Anna Tarazevich,,https://www.pexels.com/@anntarazevich,https://www.pexels.com/photo/coronavirus-and-business-lettering-text-on-black-background-5697258/,,https://images.pexels.com/photos/5697258/pexels-photo-5697258.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5697258/pexels-photo-5697258.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5697258/pexels-photo-5697258.jpeg,pexels,success,0.0,0.0,0.95,"['coronavirus', 'business']",unknown,图片内容为黑底白字，写着'CORONAVIRUS AND BUSINESS',"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""coronavirus"", ""business""],
  ""reason"": ""图片内容为黑底白字，写着'CORONAVIRUS AND BUSINESS'""
}
```",
5863274,covid 19,5863274_Close-up_of_COVID-19_vaccine_vials__syringe__and_mask_on_a_pink_surface..jpg,data/raw\5863274_Close-up_of_COVID-19_vaccine_vials__syringe__and_mask_on_a_pink_surface..jpg,"Close-up of COVID-19 vaccine vials, syringe, and mask on a pink surface.",,6240,4160,#D3B4C9,,,,,Nataliya Vaitkevich,,https://www.pexels.com/@n-voitkevich,https://www.pexels.com/photo/covid-vaccine-and-syringe-5863274/,,https://images.pexels.com/photos/5863274/pexels-photo-5863274.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5863274/pexels-photo-5863274.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5863274/pexels-photo-5863274.jpeg,pexels,success,0.0,0.0,0.95,['vaccination'],unknown,图片中有疫苗瓶和口罩，但没有显示人或医务人员。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccination""],
  ""reason"": ""图片中有疫苗瓶和口罩，但没有显示人或医务人员。""
}
```",
4167559,covid 19,4167559_Hands_in_gloves_hold_a_globe_with__COVID-19__label_on_a_gray_backdrop__symbolizing_pandemic_impact..jpg,data/raw\4167559_Hands_in_gloves_hold_a_globe_with__COVID-19__label_on_a_gray_backdrop__symbolizing_pandemic_impact..jpg,"Hands in gloves hold a globe with 'COVID-19' label on a gray backdrop, symbolizing pandemic impact.",,4070,6105,#C5C6D1,,,,,Anna Shvets,,https://www.pexels.com/@shvetsa,https://www.pexels.com/photo/hands-with-latex-gloves-holding-a-globe-4167559/,,https://images.pexels.com/photos/4167559/pexels-photo-4167559.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/4167559/pexels-photo-4167559.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/4167559/pexels-photo-4167559.jpeg,pexels,success,1.0,1.0,0.95,"['doctor', 'nurse', 'medical_staff', 'ppe', 'protective_suit', 'mask', 'face_shield', 'gloves']",unknown,图片中有穿着防护手套和防护服的手，背景上有一个写着'COVID 19'的地球仪，这表明有医务人员在处理与COVID-19相关的内容。,"```json
{
  ""has_people"": 1,
  ""has_protective_medical_staff"": 1,
  ""confidence"": 0.95,
  ""tags"": [""doctor"", ""nurse"", ""medical_staff"", ""ppe"", ""protective_suit"", ""mask"", ""face_shield"", ""gloves""],
  ""reason"": ""图片中有穿着防护手套和防护服的手，背景上有一个写着'COVID 19'的地球仪，这表明有医务人员在处理与COVID-19相关的内容。""
}
```",
8569645,covid 19,8569645_Close-up_image_of_Covid-19_vaccine_vials_with_assorted_pills_and_a_syringe_on_a_light_surface..jpg,data/raw\8569645_Close-up_image_of_Covid-19_vaccine_vials_with_assorted_pills_and_a_syringe_on_a_light_surface..jpg,Close-up image of Covid-19 vaccine vials with assorted pills and a syringe on a light surface.,,6240,4160,#D1C1C1,,,,,Towfiqu barbhuiya,,https://www.pexels.com/@towfiqu-barbhuiya-3440682,https://www.pexels.com/photo/covid-19-vials-and-assorted-medicines-8569645/,,https://images.pexels.com/photos/8569645/pexels-photo-8569645.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/8569645/pexels-photo-8569645.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/8569645/pexels-photo-8569645.jpeg,pexels,success,0.0,0.0,0.95,"['vaccine', 'covid-19']",unknown,图片中没有出现任何人物或医疗人员，主要展示的是疫苗瓶和各种药片。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccine"", ""covid-19""],
  ""reason"": ""图片中没有出现任何人物或医疗人员，主要展示的是疫苗瓶和各种药片。""
}
```",
5863308,covid 19,5863308_Two_COVID-19_vaccine_vials_with_a_cap_on_a_pink_backdrop._Ideal_for_health_and_medical_themes..jpg,data/raw\5863308_Two_COVID-19_vaccine_vials_with_a_cap_on_a_pink_backdrop._Ideal_for_health_and_medical_themes..jpg,Two COVID-19 vaccine vials with a cap on a pink backdrop. Ideal for health and medical themes.,,4160,6240,#D79DBF,,,,,Nataliya Vaitkevich,,https://www.pexels.com/@n-voitkevich,https://www.pexels.com/photo/two-covid-vials-on-pink-surface-5863308/,,https://images.pexels.com/photos/5863308/pexels-photo-5863308.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5863308/pexels-photo-5863308.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5863308/pexels-photo-5863308.jpeg,pexels,success,0.0,0.0,0.95,['vaccination'],unknown,图片中有两个疫苗瓶，标签上写着'COVID-19疫苗',"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccination""],
  ""reason"": ""图片中有两个疫苗瓶，标签上写着'COVID-19疫苗'""
}
```",
5878520,covid 19,5878520_A_COVID-19_vaccine_vial_with_clear_labeling_on_a_serene_blue_background__symbolizing_hope_and_health..jpg,data/raw\5878520_A_COVID-19_vaccine_vial_with_clear_labeling_on_a_serene_blue_background__symbolizing_hope_and_health..jpg,"A COVID-19 vaccine vial with clear labeling on a serene blue background, symbolizing hope and health.",,6057,3407,#02A1E3,,,,,Artem Podrez,,https://www.pexels.com/@artempodrez,https://www.pexels.com/photo/a-close-up-view-of-a-covid-19-vaccine-vial-on-blue-background-5878520/,,https://images.pexels.com/photos/5878520/pexels-photo-5878520.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5878520/pexels-photo-5878520.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5878520/pexels-photo-5878520.jpeg,pexels,success,0.0,0.0,0.95,['vaccination'],unknown,图片中只有一个疫苗瓶，没有显示任何人员或防护装备。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccination""],
  ""reason"": ""图片中只有一个疫苗瓶，没有显示任何人员或防护装备。""
}
```",
5995158,covid 19,5995158_Array_of_COVID-19_vaccine_vials_on_a_blue_surface__offering_ample_copy_space..jpg,data/raw\5995158_Array_of_COVID-19_vaccine_vials_on_a_blue_surface__offering_ample_copy_space..jpg,"Array of COVID-19 vaccine vials on a blue surface, offering ample copy space.",,5680,3787,#94CADD,,,,,Maksim Goncharenok,,https://www.pexels.com/@maksgelatin,https://www.pexels.com/photo/a-close-up-shot-of-covid-19-vaccine-vials-on-a-blue-surface-5995158/,,https://images.pexels.com/photos/5995158/pexels-photo-5995158.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/5995158/pexels-photo-5995158.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/5995158/pexels-photo-5995158.jpeg,pexels,success,0.0,0.0,0.95,['vaccination'],unknown,图片中显示的是疫苗瓶，没有出现人员或防护服。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""vaccination""],
  ""reason"": ""图片中显示的是疫苗瓶，没有出现人员或防护服。""
}
```",
4235825,covid 19,4235825_A_set_of_COVID-19_test_tubes_in_a_rack__symbolizing_medical_research_and_diagnostics..jpg,data/raw\4235825_A_set_of_COVID-19_test_tubes_in_a_rack__symbolizing_medical_research_and_diagnostics..jpg,"A set of COVID-19 test tubes in a rack, symbolizing medical research and diagnostics.",,3840,2160,#9693D5,,,,,Riki Risnandar,,https://www.pexels.com/@riki-risnandar-2265311,https://www.pexels.com/photo/test-tubes-on-a-test-tube-rack-4235825/,,https://images.pexels.com/photos/4235825/pexels-photo-4235825.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/4235825/pexels-photo-4235825.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/4235825/pexels-photo-4235825.jpeg,pexels,success,0.0,0.0,0.95,['testing'],unknown,图像中没有显示任何人员或医务人员，只有标有'Covid-19 Test'的试管。,"```json
{
  ""has_people"": 0,
  ""has_protective_medical_staff"": 0,
  ""confidence"": 0.95,
  ""tags"": [""testing""],
  ""reason"": ""图像中没有显示任何人员或医务人员，只有标有'Covid-19 Test'的试管。""
}
```",
